"Distal","Min_35","Min_10","Proximal","normalized_RNA_exp_UnInduced_12","normalized_RNA_exp_Induced_12"
"lacOscram","minus35cons","minus10_7A","lacO1",0.893212909173118,1.47452305023316
"lacOscram","minus35cons","minus10_12G","lacO1",1.35376595215753,2.91026521017373
"lacOscram","minus35cons","minus10_12G","O3_rightSym",6.68011246644186,7.49879221061372
"lacOscram","minus35_30C_33T","minus10_12G","O2_leftSym",1.17724737037236,0.589466673164709
"lacOscram","minus35cons","minus10cons","O3_rightSym",26.3820471334773,21.8586695846503
"lacOscram","minus35_30C_33T","minus10_7A","lacO1",1.60176432633153,1.39947726776978
"lacOscram","minus35_33T","minus10cons","lacOscram",2.23552026794611,1.9266251543247
"lacOscram","minus35cons","minus10_12A","lacO2",1.6142113633779,1.98750400267375
"lacOscram","minus35_30C_33T","minus10_12A","lacO2",0.840331380090273,0.863635776034341
"lacOscram","minus35_33T","minus10_12G","O2_leftSym",1.05577600335666,0.857828676599231
"lacOscram","minus35_30C_33T","minus10_12G","O3_rightSym",0.82889076455608,0.924355670028589
"lacOscram","minus35_30C_33T","minus10cons","O3_rightSym",1.41333640633881,0.966579184977292
"lacOscram","minus35_31A_32C","minus10_12G","O2_leftSym",0.698544710969689,0.622148688865535
"lacOscram","minus35_30C_33T","minus10_12G","O2_rightSym",1.10322812692782,1.00366519727358
"lacOscram","minus35_33T","minus10_7A","lacOsym",0.491093124488678,0.392932178061563
"lacOscram","minus35cons","minus10cons","lacO1",8.59823606070579,22.4971380434897
"lacOscram","minus35_33T","minus10_12A","O2_rightSym",1.24321378963416,0.892819484941842
"lacOscram","minus35_31A_32C","minus10_12G","O3_leftSym",1.62890726412841,1.57330675958129
"lacOscram","minus35cons","minus10_12A","O1_rightSym",1.4106465625027,1.51015240378729
"lacOscram","minus35_31A_32C","minus10cons","lacO2",7.76707041045096,6.57100566272393
"lacOscram","minus35_33T","minus10_12A","O2_leftSym",0.970655403242278,0.721663208159852
"lacOscram","minus35_30C_33T","minus10_7A","O1_rightSym",1.56495409617477,1.12744291027901
"lacOscram","minus35cons","minus10_7A","O2_leftSym",2.59948840919819,1.59212864621233
"lacOscram","minus35_31A_32C","minus10_7A","O3_leftSym",1.64831895398423,0.976276703482985
"lacOscram","minus35_33T","minus10_12A","O1_rightSym",0.727567259925974,0.551791174174501
"lacOscram","minus35_31A_32C","minus10_12G","lacO1",1.28852281829004,1.19628344692596
"lacOscram","minus35_30C_33T","minus10_12A","O3_leftSym",1.37391790349719,0.56741796626888
"lacOscram","minus35_33T","minus10_12A","O3_leftSym",1.4049302021105,0.783305748545386
"lacOscram","minus35_33T","minus10_12G","lacOscram",0.841437772488507,0.627725932326643
"lacOscram","minus35_33T","minus10_12G","lacO1",1.9664973392708,0.656671149909489
"lacOscram","minus35_31A_32C","minus10cons","O1_rightSym",6.29644227532726,5.10939159502669
"lacOscram","minus35_33T","minus10_12G","lacO3",0.726928430030138,0.56358235664451
"lacOscram","minus35cons","minus10_12A","lacOsym",0.87940838819343,1.42556911804876
"lacOscram","minus35cons","minus10cons","O3_leftSym",27.4356964440521,14.6292314625556
"lacOscram","minus35cons","minus10cons","lacOscram",17.5017148937511,17.4684243095721
"lacOscram","minus35_31A_32C","minus10cons","O2_leftSym",7.23900393552097,6.38336015719045
"lacOscram","minus35_30C_33T","minus10cons","O1_rightSym",1.61859947196087,1.75057358493366
"lacOscram","minus35_31A_32C","minus10_12A","O3_rightSym",1.10118001752676,0.587986598276798
"lacOscram","minus35cons","minus10_12G","lacO2",5.06391418707076,3.78577620562235
"lacOscram","minus35_33T","minus10_12G","O3_leftSym",1.51725340753641,1.12043085911483
"lacOscram","minus35cons","minus10_7A","O3_rightSym",1.63827094631318,1.71537561185214
"lacOscram","minus35_30C_33T","minus10cons","lacOscram",0.983786402576019,1.16266193460696
"lacOscram","minus35_33T","minus10_7A","O3_leftSym",1.59748252896362,0.518722746112576
"lacOscram","minus35cons","minus10_7A","lacO2",2.23348161776983,1.60889345962135
"lacOscram","minus35_33T","minus10cons","lacOsym",1.07795930372379,4.86818656278254
