O2_rightSym	minus35cons	minus10_7A	O3_leftSym	6.92315018650922	7.70077129906229
O2_rightSym	minus35_30C_33T	minus10cons	O3_leftSym	0.791438519234117	0.617364971229142
lacO3	minus35_33T	minus10_12G	O2_rightSym	0.498001003293559	0.447916688083896
lacO2	minus35cons	minus10cons	O2_leftSym	23.7635236933971	17.8399872043448
lacO1	minus35_31A_32C	minus10cons	lacO2	15.2169836801137	25.0981071739464
O1_rightSym	minus35_33T	minus10_7A	O2_rightSym	1.06228866051478	0.865752802118303
lacO3	minus35_30C_33T	minus10_7A	O2_rightSym	1.142896441219	0.705621478195801
O3_rightSym	minus35_31A_32C	minus10cons	O2_rightSym	3.56850655580858	2.68336026153038
O2_leftSym	minus35cons	minus10cons	O1_rightSym	75.7336719501155	52.2430622212857
lacOscram	minus35_31A_32C	minus10_7A	O1_rightSym	1.3509658123711	0.762013620920018
O3_rightSym	minus35_30C_33T	minus10_7A	O2_leftSym	0.999480632390419	0.812237115455761
O3_rightSym	minus35cons	minus10_12A	O2_rightSym	2.13062942323474	1.44471921109252
O2_rightSym	minus35_33T	minus10_12G	lacOscram	0.890736943326754	0.902715837297692
lacOsym	minus35cons	minus10cons	lacO1	2.58448013667005	23.1936213451773
lacOscram	minus35_33T	minus10cons	lacO2	4.35424167311495	3.09678520681135
lacO1	minus35_30C_33T	minus10_12A	lacO3	0.823089226390148	0.798024472947074
lacO2	minus35_30C_33T	minus10_7A	O2_rightSym	1.51218293544629	0.827974254886691
O2_rightSym	minus35cons	minus10_7A	lacOscram	5.23444972659273	3.74813380471102
lacO1	minus35_31A_32C	minus10cons	lacO3	2.23830251429403	7.04897902470001
lacOsym	minus35_30C_33T	minus10_12A	lacO3	1.13971053581312	0.975232391883043
O2_leftSym	minus35cons	minus10_7A	O1_rightSym	6.41574248473745	4.36157708985864
O2_leftSym	minus35cons	minus10_7A	lacOscram	6.21460938032316	6.06348164419052
O3_leftSym	minus35_31A_32C	minus10_7A	lacO2	1.30175839051424	1.14376915290021
O2_leftSym	minus35cons	minus10_12A	O2_rightSym	5.27759148957611	4.5545994963144
O3_leftSym	minus35cons	minus10_12G	lacO1	1.50962172890753	2.65807118710251
O2_leftSym	minus35_33T	minus10cons	lacO2	13.3043092781205	10.8827868920748
lacOscram	minus35_30C_33T	minus10_12G	O1_rightSym	1.47911554965458	0.632194706137303
O2_leftSym	minus35_31A_32C	minus10_12G	lacO2	3.1532837633405	2.08532569082105
O3_leftSym	minus35cons	minus10_12G	lacO2	11.3756612990257	8.71024367142597
lacO1	minus35cons	minus10_12A	lacO1	0.927149717718647	1.21819204169771
O3_leftSym	minus35_33T	minus10_12G	lacOsym	1.0269470461603	0.597379811864273
O2_leftSym	minus35_33T	minus10_7A	O3_leftSym	1.27785324254061	1.29933095939863
O1_rightSym	minus35_33T	minus10_7A	lacOscram	2.68254933238949	2.04801023922095
lacO3	minus35_31A_32C	minus10_12A	O2_rightSym	0.792977212671939	0.614459824316371
O3_leftSym	minus35cons	minus10_12G	O2_leftSym	2.98767395732424	3.09779044298682
O3_leftSym	minus35_33T	minus10_7A	lacO1	1.11306700867742	0.926213726626523
O2_rightSym	minus35_33T	minus10_12A	O2_rightSym	1.55774016430058	0.903596518712561
lacOscram	minus35_30C_33T	minus10cons	lacO2	2.22847629891666	1.74789712793409
lacO1	minus35_33T	minus10cons	lacO3	3.09554517809197	5.53192854129542
lacO1	minus35cons	minus10_12G	lacO3	1.24900685953672	1.31925655839733
lacO2	minus35_31A_32C	minus10_12G	lacOscram	1.43196811874812	1.21155989115696
lacO2	minus35_30C_33T	minus10cons	lacOsym	1.62221606940359	1.51792022628665
lacOscram	minus35_31A_32C	minus10_7A	lacO2	0.717042973532935	0.671158758389507
O1_rightSym	minus35cons	minus10cons	O2_rightSym	19.4590740528762	18.7860156928268
lacOscram	minus35_30C_33T	minus10_12A	lacOscram	0.894433984719363	0.69147454013199
lacO2	minus35_31A_32C	minus10cons	lacOsym	0.714656308138206	2.78062223649561
lacO1	minus35_31A_32C	minus10_12A	lacO1	0.706754558003657	1.17763978390176
O3_leftSym	minus35_33T	minus10cons	O3_rightSym	6.03207875365716	3.97821172566334
lacO2	minus35_30C_33T	minus10_12G	lacO3	1.51690324803984	0.658134354840158
lacOscram	minus35cons	minus10_7A	O1_rightSym	2.02256188002488	2.47548362885824
O2_leftSym	minus35_31A_32C	minus10_7A	lacO3	1.52060066351225	1.26530875179664
O1_rightSym	minus35_33T	minus10_12A	lacO3	1.8462291636391	0.776216914388107
lacO1	minus35_31A_32C	minus10cons	O2_leftSym	8.31246511065371	7.56840444273807
O2_rightSym	minus35_30C_33T	minus10_7A	O1_rightSym	0.50660642285018	0.297538924036434
lacO1	minus35_31A_32C	minus10_12G	O3_leftSym	1.25082161608219	0.963341458671503
O2_rightSym	minus35_30C_33T	minus10_12A	O2_leftSym	0.565843548419187	0.488782438671323
lacOsym	minus35_33T	minus10cons	lacO1	0.784084523460727	3.17854277606308
O2_rightSym	minus35_33T	minus10cons	O2_rightSym	2.32108047383198	3.21109850587899
lacO2	minus35_31A_32C	minus10_12G	O3_leftSym	1.36173512325926	0.901568693499029
O3_leftSym	minus35cons	minus10_12A	lacOsym	0.628709123849902	1.12648260215586
lacOsym	minus35_33T	minus10_12G	O1_rightSym	1.7664186668515	1.13860015402042
lacOsym	minus35_33T	minus10_7A	lacO2	0.922408729750409	0.680748194014448
lacOsym	minus35_33T	minus10_12A	lacO1	1.28630841882314	0.765922558652824
O3_rightSym	minus35_33T	minus10_7A	lacOscram	1.63488498072905	1.22805913648085
O3_leftSym	minus35_30C_33T	minus10cons	O3_leftSym	1.01379298557674	0.891951288565813
lacO3	minus35cons	minus10cons	lacO1	11.3526977495648	39.7014282883161
O2_leftSym	minus35_33T	minus10cons	O2_rightSym	28.6589277533528	43.0994848949053
lacO1	minus35_33T	minus10_12A	O3_leftSym	0.928767633531359	0.604670733828892
O3_leftSym	minus35_33T	minus10_12G	lacOscram	1.19354891460938	1.38564046614658
O3_rightSym	minus35_33T	minus10_12A	O3_leftSym	0.970913206242085	0.809032210389636
O3_rightSym	minus35cons	minus10_12A	O3_rightSym	1.27058745082407	1.16445488561635
O3_leftSym	minus35_31A_32C	minus10_12A	lacOsym	1.34600200872734	1.06284810614827
lacO3	minus35_30C_33T	minus10_12A	O2_rightSym	0.470063039222357	0.528434764925631
O3_leftSym	minus35cons	minus10cons	lacOscram	24.0681188659695	18.3574303314472
lacO2	minus35_33T	minus10_12A	O3_leftSym	0.907911720051914	0.526525081047685
lacO3	minus35cons	minus10_7A	O2_rightSym	3.09188254104953	4.25403825425457
O3_leftSym	minus35cons	minus10cons	lacOsym	4.31004043462968	18.8485883850265
O3_rightSym	minus35_33T	minus10_7A	O2_leftSym	1.06515343852288	0.877990691696914
lacOscram	minus35_33T	minus10cons	lacO1	2.46868786137757	4.36952967059178
O2_rightSym	minus35cons	minus10cons	O3_leftSym	10.0283818147243	12.1560306022584
lacO3	minus35_33T	minus10cons	lacO2	2.49222892696912	2.3686257804224
O3_leftSym	minus35cons	minus10_7A	lacOscram	4.19182223137405	3.27378358206498
lacOsym	minus35_30C_33T	minus10_12G	lacO1	1.66099036339198	1.30768619946294
