OD	GFP/OD	GFP	Run
0.100000001	879.9999869	88	C
0.102200001	861.056739	88	C
0.106799997	842.6966498	90	C
0.115099996	816.6811729	94	C
0.150199994	705.7257252	106	C
0.196500003	636.1323047	125	C
0.27669999	596.3137186	165	C
0.278499991	685.816899	191	C
0.086300001	1008.111233	87	D
0.089699998	958.7514096	86	D
0.090800002	958.1497563	87	D
0.1008	892.8571417	90	D
0.127700001	736.1002292	94	D
0.209099993	573.8881107	120	D
0.317200005	554.8549722	176	D
0.334500015	618.8340534	207	D
0.26879999	762.6488367	205	D
0.248899996	787.4648571	196	D
0.098200001	885.9470394	87	D
0.099299997	845.9214749	84	D
0.1039	837.343596	87	D
0.107199997	792.9104721	85	D
0.122900002	748.5760677	92	D
0.158199996	625.7901559	99	D
0.212599993	564.4402826	120	D
0.363000005	561.9834626	204	D
0.291700006	723.3458896	211	D
0.234599993	869.5652447	204	D
0.078599997	1106.870273	87	D
0.079300001	1071.878924	85	D
0.085900001	977.8812433	84	D
0.084799998	1025.943426	87	D
0.104199998	863.7236244	90	D
0.104400001	881.2260413	92	D
0.181899995	604.7278904	110	D
0.378800005	530.6230135	201	D
0.328000009	655.4877868	215	D
0.251199991	824.0446171	207	D
0.092200004	943.6008312	87	D
0.091600001	938.86462	86	D
0.135600001	656.3421799	89	D
0.107900001	787.7664423	85	D
0.2315	496.7602597	115	D
0.142199993	661.0408195	94	D
0.181099996	579.7901841	105	D
0.267199993	523.9521093	140	D
0.34740001	604.4904841	210	D
0.257400006	804.1957853	207	D
0.085600004	1016.355097	87	D
0.086499996	994.2196936	86	D
0.093800001	916.8443414	86	D
0.101599999	885.8267824	90	D
0.151299998	647.7197699	98	D
0.194299996	555.841494	108	D
0.327100009	492.2042058	161	D
0.386000007	520.7253786	201	D
0.327600002	637.9731335	209	D
0.260699987	771.001188	201	D
0.096699998	899.6897828	87	D
0.100599997	854.870803	86	D
0.103600003	859.0733356	89	D
0.1193	771.1651275	92	D
0.136700004	687.6371398	94	D
0.181199998	568.4326784	103	D
0.263200015	528.1154718	139	D
0.323100001	575.6731651	186	D
0.309700012	652.2440815	202	D
0.268999994	721.1896077	194	D
