name	Library	Distal	Min_35	Min_10	Prox.Core	Condition	Expression	Sym
COMBO-lacO2-minus35_31A_32C-minus10cons-lacO3	COMBO	lacO2	minus35_31A_32C	minus10cons	lacO3	UnInduced	11.9393687105784	No
COMBO-lacO2-minus35cons-minus10_7A-lacO3	COMBO	lacO2	minus35cons	minus10_7A	lacO3	UnInduced	2.98084132483383	No
COMBO-lacO2-minus35_31A_32C-minus10cons-lacOscram	COMBO	lacO2	minus35_31A_32C	minus10cons	lacOscram	UnInduced	6.38593285177185	No
COMBO-lacO2-minus35cons-minus10_12A-lacOscram	COMBO	lacO2	minus35cons	minus10_12A	lacOscram	UnInduced	5.58771503633231	No
COMBO-lacOscram-minus35cons-minus10cons-lacO1	COMBO	lacOscram	minus35cons	minus10cons	lacO1	UnInduced	8.59823606070579	No
COMBO-lacO2-minus35cons-minus10_12G-lacO1	COMBO	lacO2	minus35cons	minus10_12G	lacO1	UnInduced	0.62705674784721	No
COMBO-lacOscram-minus35_31A_32C-minus10cons-lacO2	COMBO	lacOscram	minus35_31A_32C	minus10cons	lacO2	UnInduced	7.76707041045096	No
COMBO-lacO1-minus35_33T-minus10cons-lacOsym	COMBO	lacO1	minus35_33T	minus10cons	lacOsym	UnInduced	0.471145790594231	Yes
COMBO-lacO2-minus35_33T-minus10cons-lacOsym	COMBO	lacO2	minus35_33T	minus10cons	lacOsym	UnInduced	0.958591361874638	Yes
COMBO-lacO2-minus35cons-minus10_7A-lacOsym	COMBO	lacO2	minus35cons	minus10_7A	lacOsym	UnInduced	1.49781149791515	Yes
COMBO-lacO1-minus35cons-minus10_12G-lacO2	COMBO	lacO1	minus35cons	minus10_12G	lacO2	UnInduced	5.53104474164474	No
COMBO-lacO3-minus35_30C_33T-minus10cons-lacO1	COMBO	lacO3	minus35_30C_33T	minus10cons	lacO1	UnInduced	0.917238139120872	No
COMBO-lacOsym-minus35_30C_33T-minus10cons-lacO2	COMBO	lacOsym	minus35_30C_33T	minus10cons	lacO2	UnInduced	1.3485990523929	No
COMBO-lacO1-minus35cons-minus10_7A-lacOscram	COMBO	lacO1	minus35cons	minus10_7A	lacOscram	UnInduced	5.00306218828194	No
COMBO-lacOsym-minus35_33T-minus10cons-lacOscram	COMBO	lacOsym	minus35_33T	minus10cons	lacOscram	UnInduced	3.62645012056787	No
COMBO-lacO2-minus35cons-minus10_12A-lacO1	COMBO	lacO2	minus35cons	minus10_12A	lacO1	UnInduced	2.4541212094075	No
COMBO-lacO2-minus35_31A_32C-minus10cons-lacO1	COMBO	lacO2	minus35_31A_32C	minus10cons	lacO1	UnInduced	4.39097935997261	No
COMBO-lacO1-minus35cons-minus10_12G-lacO1	COMBO	lacO1	minus35cons	minus10_12G	lacO1	UnInduced	1.13433115588534	No
COMBO-lacO1-minus35_33T-minus10cons-lacO2	COMBO	lacO1	minus35_33T	minus10cons	lacO2	UnInduced	1.53395550161264	No
COMBO-lacO3-minus35cons-minus10_12G-lacO3	COMBO	lacO3	minus35cons	minus10_12G	lacO3	UnInduced	3.64353239851004	No
COMBO-lacO2-minus35_33T-minus10cons-lacO3	COMBO	lacO2	minus35_33T	minus10cons	lacO3	UnInduced	3.92711255802592	No
COMBO-lacO3-minus35cons-minus10cons-lacOsym	COMBO	lacO3	minus35cons	minus10cons	lacOsym	UnInduced	4.33776165120151	Yes
COMBO-lacO3-minus35cons-minus10cons-lacOscram	COMBO	lacO3	minus35cons	minus10cons	lacOscram	UnInduced	19.7080425337963	No
COMBO-lacO3-minus35_31A_32C-minus10cons-lacO1	COMBO	lacO3	minus35_31A_32C	minus10cons	lacO1	UnInduced	3.46946893399479	No
COMBO-lacO2-minus35cons-minus10cons-lacO1	COMBO	lacO2	minus35cons	minus10cons	lacO1	UnInduced	11.696476434091	No
COMBO-lacO3-minus35_33T-minus10cons-lacO1	COMBO	lacO3	minus35_33T	minus10cons	lacO1	UnInduced	2.21814117426061	No
COMBO-lacOscram-minus35cons-minus10_12A-lacOsym	COMBO	lacOscram	minus35cons	minus10_12A	lacOsym	UnInduced	0.87940838819343	Yes
COMBO-lacOscram-minus35cons-minus10cons-lacOscram	COMBO	lacOscram	minus35cons	minus10cons	lacOscram	UnInduced	17.5017148937511	No
COMBO-lacO3-minus35_31A_32C-minus10cons-lacO2	COMBO	lacO3	minus35_31A_32C	minus10cons	lacO2	UnInduced	10.7515714608719	No
COMBO-lacOsym-minus35cons-minus10_12G-lacOscram	COMBO	lacOsym	minus35cons	minus10_12G	lacOscram	UnInduced	13.188578722839	No
COMBO-lacO1-minus35cons-minus10cons-lacO3	COMBO	lacO1	minus35cons	minus10cons	lacO3	UnInduced	2.84295128349218	No
COMBO-lacOscram-minus35cons-minus10_12G-lacO2	COMBO	lacOscram	minus35cons	minus10_12G	lacO2	UnInduced	5.06391418707076	No
COMBO-lacO2-minus35cons-minus10_12G-lacOscram	COMBO	lacO2	minus35cons	minus10_12G	lacOscram	UnInduced	16.4245551641047	No
COMBO-lacOsym-minus35_30C_33T-minus10cons-lacOscram	COMBO	lacOsym	minus35_30C_33T	minus10cons	lacOscram	UnInduced	1.86918694424318	No
