Library	Prox.Core	Distal	Min_10	Min_35	ratio
COMBO	lacOscram	lacO2	minus10_12G	minus35cons	0.841523053533119
COMBO	lacOscram	lacOsym	minus10cons	minus35_30C_33T	0.707844279735933
COMBO	lacO2	lacOsym	minus10cons	minus35_33T	2.37344780373499
COMBO	lacOscram	lacOscram	minus10cons	minus35_30C_33T	1.18182354580482
COMBO	lacO2	lacOscram	minus10_7A	minus35cons	0.720352228028567
COMBO	lacOsym	lacOscram	minus10cons	minus35_33T	4.51611349887282
COMBO	lacO2	lacO2	minus10_12A	minus35cons	0.684007990301422
COMBO	lacOscram	lacO2	minus10cons	minus35_30C_33T	0.900233835541453
DISTAL	lacO2	lacOsym	minus10cons	minus35_33T	1.37063893281465
DISTAL	lacO1	lacO2	minus10_12G	minus35cons	1.93442658804338
DISTAL	lacOscram	lacO2	minus10cons	minus35_33T	0.907517131648286
DISTAL	lacO2	lacO2	minus10_7A	minus35cons	0.996383257717043
DISTAL	lacO2	lacOscram	minus10cons	minus35cons	0.768495949131508
DISTAL	lacOsym	lacO2	minus10cons	minus35_30C_33T	1.75769137337687
DISTAL	lacO3	lacO1	minus10_12G	minus35cons	2.01657162453646
DISTAL	lacO1	lacOsym	minus10_12A	minus35cons	2.11693399183498
DISTAL	lacO2	lacOsym	minus10cons	minus35cons	0.805108364325548
DISTAL	lacO2	lacO2	minus10cons	minus35_30C_33T	0.87177806209565
DISTAL	lacO1	lacO3	minus10_7A	minus35cons	1.16886823794048
DISTAL	lacOsym	lacO1	minus10_12A	minus35cons	0.971975778434371
DISTAL	lacO1	lacO1	minus10cons	minus35_30C_33T	1.05255563606049
DISTAL	lacO2	lacO1	minus10_12G	minus35cons	0.984889828675218
DISTAL	lacOscram	lacO2	minus10cons	minus35_31A_32C	0.788770821448913
DISTAL	lacOscram	lacO1	minus10_7A	minus35cons	0.620632305356865
DISTAL	lacOscram	lacOscram	minus10cons	minus35cons	0.788094944780945
DISTAL	lacOsym	lacO2	minus10cons	minus35_33T	2.26106983377569
DISTAL	lacOscram	lacO3	minus10_12A	minus35cons	0.677285244034306
DISTAL	lacO3	lacOsym	minus10_12G	minus35cons	1.23630713983082
DISTAL	lacO3	lacO2	minus10_7A	minus35cons	0.669457436138309
DISTAL	lacO1	lacOsym	minus10cons	minus35cons	4.25693804554842
DISTAL	lacOsym	lacO3	minus10_7A	minus35cons	1.87442090574885
DISTAL	lacO3	lacO1	minus10cons	minus35_33T	1.21393417388804
DISTAL	lacOsym	lacO3	minus10cons	minus35_31A_32C	5.35781753236261
DISTAL	lacO2	lacO2	minus10cons	minus35_31A_32C	0.721685567874309
DISTAL	lacO3	lacO3	minus10cons	minus35_33T	1.11917738229698
DISTAL	lacOsym	lacOsym	minus10cons	minus35_33T	2.28765765364155
DISTAL	lacOscram	lacO3	minus10cons	minus35cons	0.474378393380053
DISTAL	lacO1	lacO3	minus10cons	minus35_31A_32C	1.8341952707045
