"{0.8793502422744554, 1.98481580921115}","{0.8802483991585794, 1.50671149677776}"
"{4.631028092707159, 6.11089594863417}","{4.6326330620622205, 4.86622303984304}"
"{2.1999924414214327, 3.27535019506718}","{3.482318258431691, 3.62598565531476}"
"{0.8948121244824099, 1.03080120979791}","{0.8948172561467181, 0.869160733484793}"
"{2.2472316089752598, 1.41098414240832}","{3.508767634276378, 3.05292410414705}"
"{0.8846292733413935, 1.08554819971646}","{0.9046037587426528, 0.896896065882843}"
"{0.8804482829230857, 0.77538459237566}","{0.8872863987130097, 0.735897867857408}"
"{0.9507949372521562, 1.29425961949305}","{0.9601022659094968, 0.828818270728524}"
"{22.138125154222568, 40.8529721533256}","{22.139498180428248, 35.3715710716677}"
"{3.135387170501343, 3.57906802539384}","{3.54468665649101, 2.65848261585336}"
"{0.8798847417724905, 0.812140878338056}","{0.8870670488390445, 0.70124876932019}"
"{0.8930942748633246, 0.54486033329327}","{1.0571722208534862, 0.504422084623323}"
"{1.537951322808854, 0.976973911781532}","{1.5379872750676769, 0.857071701582276}"
"{0.8794818495146718, 0.586308484779488}","{0.8819747250572549, 0.501351354918061}"
"{0.9480173574096802, 0.740047529221809}","{1.158015757581995, 0.921927099467807}"
"{1.1878312204380939, 0.810441770295127}","{2.99623468081384, 2.34797861279399}"
"{0.9050571291147247, 0.588457545476508}","{1.056135389528434, 1.52310764122583}"
"{0.9896154480269247, 0.924363517586638}","{1.096743950024618, 0.825200563644035}"
"{0.8804106134957604, 0.910348902890565}","{0.8889516576729176, 0.814707572356969}"
"{0.9042860936125914, 0.507971651600501}","{1.063969227587664, 0.589592181080393}"
"{0.8853303474594724, 0.908737630974878}","{0.8912085234773908, 0.715753729178737}"
"{0.8866594910573267, 1.18896621421854}","{0.9299100893623536, 1.23862751778057}"
"{9.119307850924255, 28.132287048299}","{9.122790586531037, 23.6422091019966}"
"{0.9592821055683268, 1.42037976861938}","{0.9608478506411209, 0.739350575781959}"
"{1.162518795042407, 1.61841862793201}","{1.1626385089216398, 0.947075885987254}"
"{9.08890851742179, 4.44886141653072}","{16.752969518381946, 6.79727652992304}"
"{1.8457460704255253, 6.61214863430711}","{13.784186137904788, 61.8008346844466}"
