"Library" "Prox.Core" "Distal" "Min_10" "Min_35" "ratio"
"209" "DISTAL" "lacOscram" "lacO1" "minus10cons" "minus35_33T" 1.00729773834379
"210" "DISTAL" "lacOscram" "lacO2" "minus10_7A" "minus35cons" 0.642928516135393
"211" "DISTAL" "lacO3" "lacOscram" "minus10_7A" "minus35cons" 0.846243087455452
"212" "DISTAL" "lacOsym" "lacOsym" "minus10cons" "minus35_30C_33T" 1.02192845675715
"213" "DISTAL" "lacO1" "lacOsym" "minus10cons" "minus35_30C_33T" 1.51374366931136
"214" "DISTAL" "lacO1" "lacOsym" "minus10cons" "minus35_33T" 3.12037394949235
"215" "DISTAL" "lacOscram" "lacO3" "minus10_7A" "minus35cons" 0.902744136980198
"216" "DISTAL" "lacO3" "lacOscram" "minus10cons" "minus35_30C_33T" 0.716673975334914
"217" "DISTAL" "lacOscram" "lacOsym" "minus10_12A" "minus35cons" 1.07480347354435
"218" "DISTAL" "lacO2" "lacOscram" "minus10_12A" "minus35cons" 0.837916977069028
"219" "DISTAL" "lacOsym" "lacO2" "minus10_12G" "minus35cons" 4.15040626445163
"220" "DISTAL" "lacOsym" "lacO3" "minus10cons" "minus35_33T" 3.77211334404312
"221" "DISTAL" "lacO3" "lacOscram" "minus10_12A" "minus35cons" 0.564089455393239
"222" "DISTAL" "lacOsym" "lacOscram" "minus10cons" "minus35_30C_33T" 0.704364688535419
"223" "DISTAL" "lacO1" "lacOscram" "minus10cons" "minus35_30C_33T" 2.21569613580313
"224" "DISTAL" "lacO3" "lacOscram" "minus10_12G" "minus35cons" 0.782845676415632
"225" "DISTAL" "lacOsym" "lacO1" "minus10cons" "minus35_30C_33T" 0.954960480949731
"226" "DISTAL" "lacO1" "lacO2" "minus10_12A" "minus35cons" 1.1979424475536
"227" "DISTAL" "lacO1" "lacO1" "minus10cons" "minus35cons" 7.86488292110394
"228" "DISTAL" "lacO2" "lacO3" "minus10cons" "minus35cons" 0.740849473073345
"229" "DISTAL" "lacO3" "lacO1" "minus10cons" "minus35_31A_32C" 1.99063729955898
"230" "DISTAL" "lacOscram" "lacOscram" "minus10_7A" "minus35cons" 0.927401697577837
"231" "DISTAL" "lacOscram" "lacO2" "minus10_12A" "minus35cons" 0.976117287006297
"232" "DISTAL" "lacO2" "lacO3" "minus10cons" "minus35_33T" 0.777844411397009
"233" "DISTAL" "lacO3" "lacO3" "minus10cons" "minus35_31A_32C" 0.671108873469061
"234" "DISTAL" "lacO2" "lacO3" "minus10_12G" "minus35cons" 0.826101590153689
"235" "DISTAL" "lacOscram" "lacO1" "minus10cons" "minus35cons" 0.55230853338872
"236" "DISTAL" "lacO1" "lacO1" "minus10_12G" "minus35cons" 4.14733273707944
"237" "DISTAL" "lacO3" "lacO3" "minus10_12A" "minus35cons" 1.12755672202125
