"name" "Library" "Distal" "Min_35" "Min_10" "Prox.Core" "Condition" "Expression" "Sym"
"66" "COMBO-lacO3-minus35cons-minus10_12A-lacOsym" "COMBO" "lacO3" "minus35cons" "minus10_12A" "lacOsym" "UnInduced" 0.910120090610977 "Yes"
"67" "COMBO-lacOscram-minus35cons-minus10_12A-lacOscram" "COMBO" "lacOscram" "minus35cons" "minus10_12A" "lacOscram" "UnInduced" 2.25104549486246 "No"
"68" "COMBO-lacO2-minus35cons-minus10_12G-lacO2" "COMBO" "lacO2" "minus35cons" "minus10_12G" "lacO2" "UnInduced" 2.98323613270927 "No"
"69" "COMBO-lacOsym-minus35_30C_33T-minus10cons-lacO3" "COMBO" "lacOsym" "minus35_30C_33T" "minus10cons" "lacO3" "UnInduced" 1.43568723451587 "No"
"70" "COMBO-lacOsym-minus35cons-minus10cons-lacO2" "COMBO" "lacOsym" "minus35cons" "minus10cons" "lacO2" "UnInduced" 28.4435279213502 "No"
"71" "COMBO-lacOscram-minus35_33T-minus10cons-lacO3" "COMBO" "lacOscram" "minus35_33T" "minus10cons" "lacO3" "UnInduced" 4.48689213878604 "No"
"72" "COMBO-lacOsym-minus35_33T-minus10cons-lacOsym" "COMBO" "lacOsym" "minus35_33T" "minus10cons" "lacOsym" "UnInduced" 0.446618589206016 "Yes"
"73" "COMBO-lacOscram-minus35cons-minus10cons-lacO3" "COMBO" "lacOscram" "minus35cons" "minus10cons" "lacO3" "UnInduced" 12.2192450145304 "No"
"74" "COMBO-lacOsym-minus35cons-minus10_12G-lacO2" "COMBO" "lacOsym" "minus35cons" "minus10_12G" "lacO2" "UnInduced" 2.31108306374278 "No"
"75" "COMBO-lacO3-minus35_33T-minus10cons-lacO3" "COMBO" "lacO3" "minus35_33T" "minus10cons" "lacO3" "UnInduced" 6.43987458242115 "No"
"76" "COMBO-lacO2-minus35cons-minus10_7A-lacO1" "COMBO" "lacO2" "minus35cons" "minus10_7A" "lacO1" "UnInduced" 0.582811093513876 "No"
"77" "COMBO-lacOscram-minus35cons-minus10_7A-lacOsym" "COMBO" "lacOscram" "minus35cons" "minus10_7A" "lacOsym" "UnInduced" 0.788296910298929 "Yes"
"78" "COMBO-lacOsym-minus35_31A_32C-minus10cons-lacOscram" "COMBO" "lacOsym" "minus35_31A_32C" "minus10cons" "lacOscram" "UnInduced" 5.92857189432788 "No"
"79" "COMBO-lacO3-minus35_30C_33T-minus10cons-lacOscram" "COMBO" "lacO3" "minus35_30C_33T" "minus10cons" "lacOscram" "UnInduced" 2.26077313038737 "No"
"80" "COMBO-lacO1-minus35_31A_32C-minus10cons-lacOscram" "COMBO" "lacO1" "minus35_31A_32C" "minus10cons" "lacOscram" "UnInduced" 7.09983102230768 "No"
"81" "COMBO-lacOscram-minus35cons-minus10_12A-lacO3" "COMBO" "lacOscram" "minus35cons" "minus10_12A" "lacO3" "UnInduced" 1.98172493709179 "No"
"82" "COMBO-lacOsym-minus35cons-minus10_7A-lacO2" "COMBO" "lacOsym" "minus35cons" "minus10_7A" "lacO2" "UnInduced" 2.16636176435202 "No"
"83" "COMBO-lacO3-minus35cons-minus10_12G-lacOscram" "COMBO" "lacO3" "minus35cons" "minus10_12G" "lacOscram" "UnInduced" 4.69104588188801 "No"
"84" "COMBO-lacO1-minus35_30C_33T-minus10cons-lacO2" "COMBO" "lacO1" "minus35_30C_33T" "minus10cons" "lacO2" "UnInduced" 1.49383738150054 "No"
"85" "COMBO-lacO3-minus35cons-minus10_7A-lacOscram" "COMBO" "lacO3" "minus35cons" "minus10_7A" "lacOscram" "UnInduced" 8.46643752915064 "No"
"86" "COMBO-lacO2-minus35_30C_33T-minus10cons-lacO2" "COMBO" "lacO2" "minus35_30C_33T" "minus10cons" "lacO2" "UnInduced" 3.66130873058707 "No"
"87" "COMBO-lacO1-minus35_33T-minus10cons-lacOscram" "COMBO" "lacO1" "minus35_33T" "minus10cons" "lacOscram" "UnInduced" 3.84370399647615 "No"
"88" "COMBO-lacOsym-minus35cons-minus10_12A-lacO1" "COMBO" "lacOsym" "minus35cons" "minus10_12A" "lacO1" "UnInduced" 0.620932388492768 "No"
"89" "COMBO-lacO3-minus35cons-minus10_7A-lacO3" "COMBO" "lacO3" "minus35cons" "minus10_7A" "lacO3" "UnInduced" 3.99972413718065 "No"
"90" "COMBO-lacOscram-minus35_31A_32C-minus10cons-lacO1" "COMBO" "lacOscram" "minus35_31A_32C" "minus10cons" "lacO1" "UnInduced" 2.52507926769106 "No"
"91" "COMBO-lacOscram-minus35cons-minus10_7A-lacOscram" "COMBO" "lacOscram" "minus35cons" "minus10_7A" "lacOscram" "UnInduced" 12.3982581492651 "No"
"92" "COMBO-lacO2-minus35cons-minus10_7A-lacOscram" "COMBO" "lacO2" "minus35cons" "minus10_7A" "lacOscram" "UnInduced" 4.2127201990387 "No"
"93" "COMBO-lacO2-minus35cons-minus10_12A-lacO3" "COMBO" "lacO2" "minus35cons" "minus10_12A" "lacO3" "UnInduced" 1.86477643005716 "No"
"94" "COMBO-lacO1-minus35cons-minus10cons-lacOscram" "COMBO" "lacO1" "minus35cons" "minus10cons" "lacOscram" "UnInduced" 30.5115797942766 "No"
"95" "COMBO-lacOscram-minus35cons-minus10_12G-lacOscram" "COMBO" "lacOscram" "minus35cons" "minus10_12G" "lacOscram" "UnInduced" 7.50878866872526 "No"
"96" "COMBO-lacOsym-minus35cons-minus10_7A-lacO1" "COMBO" "lacOsym" "minus35cons" "minus10_7A" "lacO1" "UnInduced" 1.45041634775523 "No"
"97" "COMBO-lacOsym-minus35cons-minus10_12G-lacO1" "COMBO" "lacOsym" "minus35cons" "minus10_12G" "lacO1" "UnInduced" 1.34837371796713 "No"
"98" "COMBO-lacO1-minus35_30C_33T-minus10cons-lacOsym" "COMBO" "lacO1" "minus35_30C_33T" "minus10cons" "lacOsym" "UnInduced" 0.508286689821498 "Yes"
"99" "COMBO-lacO2-minus35cons-minus10_7A-lacO2" "COMBO" "lacO2" "minus35cons" "minus10_7A" "lacO2" "UnInduced" 6.65474467794526 "No"
"100" "COMBO-lacOscram-minus35cons-minus10_12G-lacOsym" "COMBO" "lacOscram" "minus35cons" "minus10_12G" "lacOsym" "UnInduced" 1.2744222422553 "Yes"
"101" "COMBO-lacOscram-minus35_31A_32C-minus10cons-lacOscram" "COMBO" "lacOscram" "minus35_31A_32C" "minus10cons" "lacOscram" "UnInduced" 8.69627659268766 "No"
"102" "COMBO-lacO2-minus35cons-minus10_12A-lacOsym" "COMBO" "lacO2" "minus35cons" "minus10_12A" "lacOsym" "UnInduced" 1.37861038073782 "Yes"
"103" "COMBO-lacOscram-minus35cons-minus10_7A-lacO1" "COMBO" "lacOscram" "minus35cons" "minus10_7A" "lacO1" "UnInduced" 0.893212909173118 "No"
"104" "COMBO-lacOscram-minus35cons-minus10_12G-lacO1" "COMBO" "lacOscram" "minus35cons" "minus10_12G" "lacO1" "UnInduced" 1.35376595215753 "No"
"105" "COMBO-lacO1-minus35_30C_33T-minus10cons-lacO3" "COMBO" "lacO1" "minus35_30C_33T" "minus10cons" "lacO3" "UnInduced" 1.08479462470991 "No"
"106" "COMBO-lacO1-minus35cons-minus10_12A-lacOscram" "COMBO" "lacO1" "minus35cons" "minus10_12A" "lacOscram" "UnInduced" 1.85990379661076 "No"
"107" "COMBO-lacO3-minus35cons-minus10_7A-lacO1" "COMBO" "lacO3" "minus35cons" "minus10_7A" "lacO1" "UnInduced" 1.33240751046298 "No"
"108" "COMBO-lacO1-minus35_30C_33T-minus10cons-lacO1" "COMBO" "lacO1" "minus35_30C_33T" "minus10cons" "lacO1" "UnInduced" 1.40186700419952 "No"
"109" "COMBO-lacO3-minus35_31A_32C-minus10cons-lacOsym" "COMBO" "lacO3" "minus35_31A_32C" "minus10cons" "lacOsym" "UnInduced" 1.07309100140661 "Yes"
"110" "COMBO-lacO1-minus35cons-minus10_12A-lacO2" "COMBO" "lacO1" "minus35cons" "minus10_12A" "lacO2" "UnInduced" 1.32813387666317 "No"
"111" "COMBO-lacO3-minus35cons-minus10_12A-lacO2" "COMBO" "lacO3" "minus35cons" "minus10_12A" "lacO2" "UnInduced" 1.59345130572904 "No"
"112" "COMBO-lacO1-minus35cons-minus10_7A-lacO1" "COMBO" "lacO1" "minus35cons" "minus10_7A" "lacO1" "UnInduced" 0.965948131659132 "No"
"113" "COMBO-lacO2-minus35_33T-minus10cons-lacO2" "COMBO" "lacO2" "minus35_33T" "minus10cons" "lacO2" "UnInduced" 5.52627111992944 "No"
"114" "COMBO-lacOscram-minus35_33T-minus10cons-lacOscram" "COMBO" "lacOscram" "minus35_33T" "minus10cons" "lacOscram" "UnInduced" 2.23552026794611 "No"
"115" "COMBO-lacO1-minus35_33T-minus10cons-lacO1" "COMBO" "lacO1" "minus35_33T" "minus10cons" "lacO1" "UnInduced" 0.752325761844288 "No"
"116" "COMBO-lacOscram-minus35cons-minus10_12A-lacO2" "COMBO" "lacOscram" "minus35cons" "minus10_12A" "lacO2" "UnInduced" 1.6142113633779 "No"
"117" "COMBO-lacOsym-minus35_31A_32C-minus10cons-lacO1" "COMBO" "lacOsym" "minus35_31A_32C" "minus10cons" "lacO1" "UnInduced" 1.29566945960867 "No"
"118" "COMBO-lacO2-minus35_31A_32C-minus10cons-lacO3" "COMBO" "lacO2" "minus35_31A_32C" "minus10cons" "lacO3" "UnInduced" 11.9393687105784 "No"
"119" "COMBO-lacO2-minus35cons-minus10_7A-lacO3" "COMBO" "lacO2" "minus35cons" "minus10_7A" "lacO3" "UnInduced" 2.98084132483383 "No"
"120" "COMBO-lacO2-minus35_31A_32C-minus10cons-lacOscram" "COMBO" "lacO2" "minus35_31A_32C" "minus10cons" "lacOscram" "UnInduced" 6.38593285177185 "No"
"121" "COMBO-lacO2-minus35cons-minus10_12A-lacOscram" "COMBO" "lacO2" "minus35cons" "minus10_12A" "lacOscram" "UnInduced" 5.58771503633231 "No"
"122" "COMBO-lacOscram-minus35cons-minus10cons-lacO1" "COMBO" "lacOscram" "minus35cons" "minus10cons" "lacO1" "UnInduced" 8.59823606070579 "No"
"123" "COMBO-lacO2-minus35cons-minus10_12G-lacO1" "COMBO" "lacO2" "minus35cons" "minus10_12G" "lacO1" "UnInduced" 0.62705674784721 "No"
"124" "COMBO-lacOscram-minus35_31A_32C-minus10cons-lacO2" "COMBO" "lacOscram" "minus35_31A_32C" "minus10cons" "lacO2" "UnInduced" 7.76707041045096 "No"
"125" "COMBO-lacO1-minus35_33T-minus10cons-lacOsym" "COMBO" "lacO1" "minus35_33T" "minus10cons" "lacOsym" "UnInduced" 0.471145790594231 "Yes"
"126" "COMBO-lacO2-minus35_33T-minus10cons-lacOsym" "COMBO" "lacO2" "minus35_33T" "minus10cons" "lacOsym" "UnInduced" 0.958591361874638 "Yes"
"127" "COMBO-lacO2-minus35cons-minus10_7A-lacOsym" "COMBO" "lacO2" "minus35cons" "minus10_7A" "lacOsym" "UnInduced" 1.49781149791515 "Yes"
"128" "COMBO-lacO1-minus35cons-minus10_12G-lacO2" "COMBO" "lacO1" "minus35cons" "minus10_12G" "lacO2" "UnInduced" 5.53104474164474 "No"
"129" "COMBO-lacO3-minus35_30C_33T-minus10cons-lacO1" "COMBO" "lacO3" "minus35_30C_33T" "minus10cons" "lacO1" "UnInduced" 0.917238139120872 "No"
"130" "COMBO-lacOsym-minus35_30C_33T-minus10cons-lacO2" "COMBO" "lacOsym" "minus35_30C_33T" "minus10cons" "lacO2" "UnInduced" 1.3485990523929 "No"
"131" "COMBO-lacO1-minus35cons-minus10_7A-lacOscram" "COMBO" "lacO1" "minus35cons" "minus10_7A" "lacOscram" "UnInduced" 5.00306218828194 "No"
"132" "COMBO-lacOsym-minus35_33T-minus10cons-lacOscram" "COMBO" "lacOsym" "minus35_33T" "minus10cons" "lacOscram" "UnInduced" 3.62645012056787 "No"
"133" "COMBO-lacO2-minus35cons-minus10_12A-lacO1" "COMBO" "lacO2" "minus35cons" "minus10_12A" "lacO1" "UnInduced" 2.4541212094075 "No"
"134" "COMBO-lacO2-minus35_31A_32C-minus10cons-lacO1" "COMBO" "lacO2" "minus35_31A_32C" "minus10cons" "lacO1" "UnInduced" 4.39097935997261 "No"
"135" "COMBO-lacO1-minus35cons-minus10_12G-lacO1" "COMBO" "lacO1" "minus35cons" "minus10_12G" "lacO1" "UnInduced" 1.13433115588534 "No"
"136" "COMBO-lacO1-minus35_33T-minus10cons-lacO2" "COMBO" "lacO1" "minus35_33T" "minus10cons" "lacO2" "UnInduced" 1.53395550161264 "No"
"137" "COMBO-lacO3-minus35cons-minus10_12G-lacO3" "COMBO" "lacO3" "minus35cons" "minus10_12G" "lacO3" "UnInduced" 3.64353239851004 "No"
"138" "COMBO-lacO2-minus35_33T-minus10cons-lacO3" "COMBO" "lacO2" "minus35_33T" "minus10cons" "lacO3" "UnInduced" 3.92711255802592 "No"
"139" "COMBO-lacO3-minus35cons-minus10cons-lacOsym" "COMBO" "lacO3" "minus35cons" "minus10cons" "lacOsym" "UnInduced" 4.33776165120151 "Yes"
"140" "COMBO-lacO3-minus35cons-minus10cons-lacOscram" "COMBO" "lacO3" "minus35cons" "minus10cons" "lacOscram" "UnInduced" 19.7080425337963 "No"
"141" "COMBO-lacO3-minus35_31A_32C-minus10cons-lacO1" "COMBO" "lacO3" "minus35_31A_32C" "minus10cons" "lacO1" "UnInduced" 3.46946893399479 "No"
"142" "COMBO-lacO2-minus35cons-minus10cons-lacO1" "COMBO" "lacO2" "minus35cons" "minus10cons" "lacO1" "UnInduced" 11.696476434091 "No"
"143" "COMBO-lacO3-minus35_33T-minus10cons-lacO1" "COMBO" "lacO3" "minus35_33T" "minus10cons" "lacO1" "UnInduced" 2.21814117426061 "No"
"144" "COMBO-lacOscram-minus35cons-minus10_12A-lacOsym" "COMBO" "lacOscram" "minus35cons" "minus10_12A" "lacOsym" "UnInduced" 0.87940838819343 "Yes"
"145" "COMBO-lacOscram-minus35cons-minus10cons-lacOscram" "COMBO" "lacOscram" "minus35cons" "minus10cons" "lacOscram" "UnInduced" 17.5017148937511 "No"
"146" "COMBO-lacO3-minus35_31A_32C-minus10cons-lacO2" "COMBO" "lacO3" "minus35_31A_32C" "minus10cons" "lacO2" "UnInduced" 10.7515714608719 "No"
"147" "COMBO-lacOsym-minus35cons-minus10_12G-lacOscram" "COMBO" "lacOsym" "minus35cons" "minus10_12G" "lacOscram" "UnInduced" 13.188578722839 "No"
"148" "COMBO-lacO1-minus35cons-minus10cons-lacO3" "COMBO" "lacO1" "minus35cons" "minus10cons" "lacO3" "UnInduced" 2.84295128349218 "No"
"149" "COMBO-lacOscram-minus35cons-minus10_12G-lacO2" "COMBO" "lacOscram" "minus35cons" "minus10_12G" "lacO2" "UnInduced" 5.06391418707076 "No"
"150" "COMBO-lacO2-minus35cons-minus10_12G-lacOscram" "COMBO" "lacO2" "minus35cons" "minus10_12G" "lacOscram" "UnInduced" 16.4245551641047 "No"
"151" "COMBO-lacOsym-minus35_30C_33T-minus10cons-lacOscram" "COMBO" "lacOsym" "minus35_30C_33T" "minus10cons" "lacOscram" "UnInduced" 1.86918694424318 "No"
"152" "COMBO-lacOsym-minus35_33T-minus10cons-lacO2" "COMBO" "lacOsym" "minus35_33T" "minus10cons" "lacO2" "UnInduced" 2.55609545701357 "No"
"153" "COMBO-lacOscram-minus35_30C_33T-minus10cons-lacOscram" "COMBO" "lacOscram" "minus35_30C_33T" "minus10cons" "lacOscram" "UnInduced" 0.983786402576019 "No"
"154" "COMBO-lacOscram-minus35cons-minus10_7A-lacO2" "COMBO" "lacOscram" "minus35cons" "minus10_7A" "lacO2" "UnInduced" 2.23348161776983 "No"
"155" "COMBO-lacOscram-minus35_33T-minus10cons-lacOsym" "COMBO" "lacOscram" "minus35_33T" "minus10cons" "lacOsym" "UnInduced" 1.07795930372379 "Yes"
"156" "COMBO-lacO2-minus35cons-minus10_12A-lacO2" "COMBO" "lacO2" "minus35cons" "minus10_12A" "lacO2" "UnInduced" 2.46815356963732 "No"
